well,ml_selection_mae,ml_selection_rmse,ml_selection_mape,ml_mae,ml_rmse,ml_mape,arps_selection_mape,arps_selection_mae,arps_selection_rmse,naive_mae,naive_rmse,naive_mape,moving_avg_mae,moving_avg_rmse,moving_avg_mape,arps_mape,arps_mae,arps_rmse,ml_eur_5y_mbbl,arps_eur_5y_mbbl,winner
15/9-F-1 C,16230.183329656462,19266.555853452268,89.31720147757343,8979.055224685433,10562.055183855984,62.31759308307983,43.6541131050373,9193.153564403006,10929.817031375924,6540.134039999999,7933.224281089945,37.44178913114574,7901.666079999998,8708.645176364636,48.15631880962103,22.315195463685395,4902.557612047775,7024.274593308736,3081.2902426919795,161.35714190315792,Arps
15/9-F-11,42395.564224066824,50772.0521858944,20.54301106552111,61503.93040612468,70170.91760698319,76.53499479216934,11.866655004422936,31600.769658271154,48349.54724559807,21693.5202,32095.994293812193,25.495788400516663,35043.096549999995,44139.3504187235,36.988383366907996,120.7606610305747,101806.73867033278,107614.13535065288,6565.9400905527955,12093.695652248522,Arps
15/9-F-12,19783.13357102185,24782.69605788276,44.66113955382548,30087.32784438312,45384.639498783145,41.54004614369013,224.9705610159442,92649.75697639234,93938.41956098922,15686.761199999999,32338.57808414853,25.811699063015013,20599.19483809524,33870.724932166355,35.69971808389197,62.55304843360311,27640.234659338224,34085.62280550836,8764.122546400673,1633.8216089554862,ML
15/9-F-14,18637.92659168355,21709.55683560144,20.395549119500735,48151.224426516565,61700.25093380137,243.2922458934145,45.45682203377943,38059.32134078704,40557.53183383118,4358.51691,5531.089868680419,17.30826374893811,5094.52834,6503.418257600361,20.60392032195985,162.49714938873936,44237.7373953098,44401.88879544228,3026.5363207750047,2212.536196319411,ML
15/9-F-15 D,10012.609624967861,11923.511012208379,34.17749475387754,7749.443085010006,10143.797734788739,81.21184211722726,27.502410466184195,10423.31978657604,14136.0302810476,8813.0581,10252.1910282139,75.80556114601075,7222.786999999999,9798.741919332613,82.2704654431945,66.65348860107791,6296.273652706844,8404.858646002547,1156.4789751142832,943.2620430470153,Arps
