15/9-F-1 C_p10,15/9-F-1 C_p50,15/9-F-1 C_p90,15/9-F-11_p10,15/9-F-11_p50,15/9-F-11_p90,15/9-F-12_p10,15/9-F-12_p50,15/9-F-12_p90,15/9-F-14_p10,15/9-F-14_p50,15/9-F-14_p90,15/9-F-15 D_p10,15/9-F-15 D_p50,15/9-F-15 D_p90,15/9-F-1 C,15/9-F-11,15/9-F-12,15/9-F-14,15/9-F-15 D
25314.006678154336,35196.97768788039,44479.02727815433,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,161695.83270386033,220225.0487562271,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,42893.48375754454,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
32872.69378106385,42755.6647907899,52037.71438106385,6381.9699618771265,31883.612452218673,116738.03804549582,141260.86482374056,151574.375942045,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,18025.641271050892,29726.99827830765,50452.170860454054,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37663.84694261814,47546.817952344194,56828.86754261814,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,220225.0487562271,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,55243.324022008346,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37874.80396715427,47757.774976880326,57039.82456715427,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,18025.641271050892,29726.99827830765,55454.28104654448,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37874.80396715427,47757.774976880326,57039.82456715427,6381.9699618771265,35072.79432685846,116738.03804549582,140929.23602417536,157150.6674364798,234049.37387683685,0.0,8159.185116104578,34477.49113945635,0.0,18025.641271050892,29726.99827830765,55454.28104654448,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,15039.522997227676,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
26541.953424550375,36424.92443427643,45706.97402455038,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,44121.43050394058,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,151574.375942045,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,15039.522997227676,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
18830.73916443631,28713.710174162363,37995.75976443631,6381.9699618771265,38261.97620149824,116738.03804549582,137944.5768280885,151574.375942045,218689.01263171452,0.0,7777.290139456352,34744.63816068503,0.0,15039.522997227676,29726.99827830765,36410.216243826515,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
20570.5988701623,30453.569879888353,39735.6194701623,6381.9699618771265,38261.97620149824,116738.03804549582,140929.23602417536,157150.6674364798,234049.37387683685,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,38150.075949552505,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
25314.006678154336,35196.97768788039,44479.02727815433,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,18025.641271050892,29726.99827830765,42893.48375754454,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
32872.69378106385,42755.6647907899,52037.71438106385,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,50452.170860454054,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37663.84694261814,47546.817952344194,56828.86754261814,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,18025.641271050892,29726.99827830765,55243.324022008346,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37874.80396715427,47757.774976880326,57039.82456715427,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,161695.83270386033,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,55454.28104654448,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37874.80396715427,47757.774976880326,57039.82456715427,6381.9699618771265,35072.79432685846,116738.03804549582,141260.86482374056,151574.375942045,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,18025.641271050892,29726.99827830765,55454.28104654448,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,31883.612452218673,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,15039.522997227676,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
26541.953424550375,36424.92443427643,45706.97402455038,6381.9699618771265,38261.97620149824,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,15039.522997227676,29726.99827830765,44121.43050394058,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,234049.37387683685,0.0,8159.185116104578,34744.63816068503,0.0,18025.641271050892,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
18830.73916443631,28713.710174162363,37995.75976443631,6381.9699618771265,31883.612452218673,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,36410.216243826515,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
20570.5988701623,30453.569879888353,39735.6194701623,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,161695.83270386033,234049.37387683685,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,38150.075949552505,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
25314.006678154336,35196.97768788039,44479.02727815433,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,15039.522997227676,29726.99827830765,42893.48375754454,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
32872.69378106385,42755.6647907899,52037.71438106385,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,15039.522997227676,29726.99827830765,50452.170860454054,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37663.84694261814,47546.817952344194,56828.86754261814,6381.9699618771265,31883.612452218673,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,15039.522997227676,29726.99827830765,55243.324022008346,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37874.80396715427,47757.774976880326,57039.82456715427,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,18025.641271050892,29726.99827830765,55454.28104654448,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
37874.80396715427,47757.774976880326,57039.82456715427,6381.9699618771265,31883.612452218673,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,7777.290139456352,37148.96135174249,0.0,15039.522997227676,29726.99827830765,55454.28104654448,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,18025.641271050892,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
26541.953424550375,36424.92443427643,45706.97402455038,6381.9699618771265,38261.97620149824,116738.03804549582,137944.5768280885,157150.6674364798,218689.01263171452,0.0,7777.290139456352,34477.49113945635,0.0,18025.641271050892,29726.99827830765,44121.43050394058,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
42184.489561680944,52067.460571407,61349.51016168094,6381.9699618771265,31883.612452218673,116738.03804549582,137944.5768280885,161695.83270386033,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,18025.641271050892,29726.99827830765,59763.96664107115,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
18830.73916443631,28713.710174162363,37995.75976443631,6381.9699618771265,38261.97620149824,116738.03804549582,141260.86482374056,157150.6674364798,218689.01263171452,0.0,8159.185116104578,37148.96135174249,0.0,15039.522997227676,29726.99827830765,36410.216243826515,109834.01094000936,146840.4183994365,50954.57509753514,19274.649585238058
